store,year_end_sales
2106,1223186.9399999983
2113,78947.78999999982
2130,1173271.7500000019
2178,330402.6600000001
2190,2124405.0999999586
2191,1285690.2699999977
2200,244140.88000000015
2228,271429.9700000004
2233,274552.16000000003
2248,704162.9199999995
2285,477249.4900000017
2445,87169.57999999991
2459,94258.81000000008
2465,608014.4600000004
2478,260063.10999999967
2500,1420221.3699999927
2501,1657090.2099999948
2502,1866180.2899999984
2505,701665.1300000042
2506,1358448.7100000018
2507,228287.45000000036
2508,924259.9800000037
2509,618142.7300000016
2512,5001156.459999978
2513,679100.6900000002
2514,224421.63999999998
2515,1764728.579999993
2517,854379.6100000049
2518,513769.43000000063
2521,1220318.5300000026
2522,779559.7000000031
2523,435385.5999999996
2524,1879693.439999994
2527,1079897.6400000034
2528,1225648.409999994
2529,332809.90000000026
2532,645777.5500000021
2535,777177.4699999994
2536,1031030.8600000032
2538,1294630.109999987
2539,648120.8100000015
2543,785655.859999999
2544,1432758.5199999919
2545,572598.7300000007
2548,1307752.9099999985
2549,1230594.009999998
2550,210116.8500000003
2551,444589.0600000007
2552,1204726.559999993
2553,491570.1899999987
2554,239478.15999999986
2555,803544.0999999997
2556,501595.45
2558,836816.560000002
2560,1162204.6200000022
2561,1629521.7999999945
2562,481956.14000000147
2565,851700.7799999968
2566,418670.810000001
2567,449025.8600000027
2568,220905.37999999986
2569,446730.6199999991
2571,1382782.709999998
2572,1390144.8599999745
2573,1303344.7099999916
2575,291224.43999999965
2576,688365.6499999972
2578,618356.7500000019
2579,333601.43999999913
2582,658621.7700000006
2584,331904.7899999993
2585,603968.4900000022
2587,931806.3399999989
2588,967126.6299999957
2590,1376882.4099999904
2591,688645.0500000039
2592,125877.53999999976
2593,1619475.1799999927
2594,989612.400000005
2595,815085.5499999967
2596,248761.5000000008
2597,202102.4500000001
2600,194472.1699999999
2601,637602.8699999996
2602,491090.79
2603,1820780.7999999803
2604,653055.4000000001
2605,846766.5300000039
2606,658189.9899999999
2607,615843.0900000007
2611,381885.6600000012
2612,278921.5400000008
2613,1045986.7799999968
2614,1745814.3299999777
2616,1576456.219999988
2618,378928.00000000146
2619,2321730.700000001
2620,1115100.689999995
2621,1169910.7099999967
2622,900309.2000000008
2623,1299333.970000001
2624,1191890.9099999985
2625,2543035.649999985
2626,953111.3700000083
2627,697943.6700000046
2628,178414.99999999965
2629,1644555.4299999948
2630,283951.9500000001
2633,11275151.830000112
2635,1369626.129999994
2636,703043.290000005
2637,946376.0400000021
2641,313535.4600000001
2642,729389.4100000015
2643,721365.4699999986
2644,1482952.5599999987
2647,1592427.9499999878
2648,1976765.7299999718
2649,717577.4600000039
2650,630290.7300000022
2651,1086974.1399999957
2652,470168.34000000084
2653,469870.3200000008
2655,207596.3200000006
2656,177008.95000000024
2660,258303.3599999998
2661,484629.97000000055
2662,851289.119999999
2663,3073797.650000014
2665,2332218.2699999944
2666,1823736.3599999866
2670,2538116.340000007
2671,326755.0000000005
2672,318649.95999999985
2673,751837.4000000049
2675,1021131.2700000004
2678,80342.26999999995
2679,144457.16000000012
2684,147798.7400000001
2806,353436.02000000054
3013,96020.07999999996
3045,100218.64999999986
3054,90147.6500000002
3065,78185.29000000007
3354,2387732.0999999996
3385,3147579.42000001
3390,1130625.8099999952
3403,114714.82999999986
3417,273928.88000000064
3420,2963108.239999989
3443,524289.0999999989
3447,2059164.0799999994
3456,715401.9899999981
3461,172674.19000000006
3465,158038.21000000008
3477,1709202.6500000036
3488,237998.1799999985
3494,2007276.760000008
3514,294433.76999999944
3524,1766516.1799999997
3525,562329.6299999976
3528,163712.38000000003
3540,210111.52000000005
3542,106588.09000000017
3549,492951.10999999987
3562,572930.5200000013
3563,371078.2199999992
3565,169938.68000000046
3592,571949.2300000016
3612,149935.7999999998
3618,499685.5900000001
3622,466700.04000000027
3624,188882.3399999998
3625,594419.0900000004
3626,429521.13999999984
3628,462395.59999999887
3629,596384.7500000009
3632,452843.43000000075
3644,643965.5800000018
3645,315155.5699999998
3647,415773.24999999924
3650,240513.76999999947
3651,237223.49999999985
3656,232165.60000000015
3660,236061.65999999954
3663,330623.97999999975
3664,194097.90999999977
3666,379885.04000000015
3670,526318.2199999999
3678,160954.72000000023
3679,105624.96000000005
3682,132783.2399999999
3691,337864.9600000004
3695,142217.65999999977
3696,242856.68000000005
3698,170472.5700000003
3704,329941.1399999996
3705,209681.20999999982
3707,321051.63000000035
3712,162059.10999999996
3713,357734.53000000067
3715,181160.67000000022
3717,72464.57999999977
3719,304637.24999999977
3721,561831.660000002
3722,449608.57999999984
3723,216371.85000000065
3726,259858.84000000023
3728,85632.41999999975
3731,540513.780000001
3732,228321.9599999999
3742,218470.2
3744,216589.75000000012
3749,283849.98000000004
3756,129855.74999999975
3757,632955.7700000021
3769,568840.1800000013
3773,3082936.1300000413
3776,410598.6499999993
3782,128818.03999999986
3783,181880.9899999994
3784,146613.2199999997
3789,291709.24000000046
3790,353696.6899999996
3805,269680.4100000002
3806,300118.0600000003
3808,128337.99999999978
3811,260899.80999999956
3818,230576.85999999926
3820,1006658.2499999987
3822,70722.01999999984
3825,267615.280000001
3829,143642.0800000005
3830,332847.1000000002
3831,89186.25999999988
3833,284487.32999999967
3838,291770.0700000002
3841,52723.54999999992
3842,418166.57000000076
3849,124440.72999999992
3855,69607.09000000008
3857,363562.00999999896
3858,226777.34000000052
3859,326940.71000000014
3868,622257.7100000014
3869,372226.1499999978
3881,455568.8500000011
3886,337531.0100000002
3888,230339.71999999977
3889,286786.69999999943
3890,137703.73999999985
3896,160125.59000000035
3899,572320.560000001
3907,69919.09999999958
3909,122824.68999999981
3912,91084.26000000017
3916,66300.08000000005
3917,142306.25999999998
3918,74185.23000000004
3920,113055.41000000028
3928,109225.01000000029
3932,206491.73999999903
3934,296745.8400000001
3942,369933.0300000017
3943,185392.56000000067
3944,1255896.0999999999
3949,264132.3599999998
3952,3504665.1500000167
3963,220097.5199999998
3964,61922.33000000013
3973,165745.99
3980,562231.9000000012
3981,329930.9600000006
3987,259829.07999999952
3990,379199.95999999956
3993,341103.3300000008
3997,170902.13999999987
4000,90978.36000000004
4001,297758.46000000014
4004,387103.0599999988
4011,223476.35999999978
4014,251787.6299999998
4015,494849.1500000004
4019,328576.62000000017
4021,324106.0199999997
4023,324230.69999999984
4025,91510.98999999993
4027,258298.98000000004
4051,218024.36999999976
4057,380984.0200000001
4067,74060.52000000014
4068,241243.3600000011
4069,341272.5100000003
4070,166034.2699999997
4073,385032.2800000007
4077,128853.17
4083,373202.6700000001
4084,325184.34000000026
4091,304091.07000000053
4092,347060.1700000002
4098,232958.1699999998
4102,120182.99000000017
4103,256108.17000000057
4105,247086.6199999998
4106,42744.01999999999
4107,329220.5599999993
4110,158977.38000000012
4126,152516.2799999996
4129,834021.1199999895
4131,295794.05000000016
4132,108049.81999999996
4135,254037.1300000003
4136,515600.2000000008
4137,185484.93000000002
4140,242344.57000000018
4146,165792.98000000013
4147,224122.04000000042
4148,253634.3100000007
4152,198227.72999999986
4153,196226.6000000004
4156,320060.0700000005
4157,169884.35999999978
4158,242056.44000000006
4159,268678.90000000026
4161,143252.4800000001
4162,257703.85999999978
4167,907914.8800000019
4169,196526.41000000056
4170,33472.250000000015
4171,116417.75000000007
4180,181417.25999999983
4183,455584.3400000012
4184,120949.92000000006
4185,218308.05000000028
4186,77842.11000000009
4189,271558.6700000001
4190,198288.24999999977
4193,49488.4
4194,140631.1400000001
4196,511240.1100000004
4197,242646.33000000016
4200,226422.79000000012
4201,367443.1800000002
4202,312659.2600000009
4203,236981.7800000002
4204,149956.82999999975
4209,580477.5400000009
4228,325048.9900000007
4229,242629.35999999996
4231,187849.80000000016
4233,191465.16000000024
4234,202012.72000000015
4236,183850.3099999999
4239,411574.31000000006
4247,165946.06000000008
4252,187564.60000000024
4253,205888.28000000026
4254,160849.6200000004
4255,564705.7499999998
4256,234160.3500000006
4258,178529.98999999996
4260,233808.9700000002
4265,273258.5900000007
4266,185501.40999999986
4267,64371.06999999992
4269,263619.8699999999
4271,179810.07999999984
4273,198592.87000000026
4277,298430.08999999973
4285,300352.3800000016
4291,286727.61000000057
4296,131827.2599999998
4299,107375.5699999999
4300,189815.80000000005
4301,417456.6600000025
4306,97908.85000000012
4310,105195.72000000013
4312,2476180.309999982
4317,142612.18000000014
4318,146826.64999999973
4319,106651.68999999999
4320,287533.6600000001
4334,206159.81000000014
4336,48813.569999999905
4346,99143.36000000016
4361,93407.10999999978
4368,57458.409999999756
4369,101945.02999999974
4370,84205.9499999998
4371,67195.2399999999
4373,129502.8399999996
4374,69444.6499999999
4377,54725.24999999975
4379,103076.78999999967
4382,76311.99999999988
4384,86216.83999999973
4392,85865.21999999983
4397,63289.70999999988
4404,77162.91999999984
4405,89380.16999999955
4406,86843.37999999983
4411,73680.75999999983
4428,78573.96999999991
4433,69152.02999999985
4434,102457.57000000018
4439,56721.49000000006
4446,112432.60999999964
4447,61259.07999999975
4450,83135.05999999994
4452,132111.6700000003
4453,80081.15000000017
4456,58020.630000000005
4457,91085.60999999997
4461,72880.04999999978
4462,47657.269999999946
4463,142386.9900000001
4464,97922.45000000014
4474,90668.7699999998
4478,268853.6100000015
4482,112723.44000000003
4485,70311.69
4495,82075.67999999998
